Unit Number,CategoryType,Length,Width,Height,Floor
AOS,Parking,15,10,0,1
BOS,Parking,15,10,0,1
COS,Parking,15,10,0,1
DOS,Parking,15,10,0,1
EOS,Parking,15,10,0,1
FOS,Parking,15,10,0,1
GOS,Parking,15,10,0,1
HOS,Parking,20,10,0,1
IOS,Parking,20,10,0,1
JOS,Parking,20,10,0,1
KOS,Parking,20,10,0,1
LOS,Parking,20,10,0,1
MOS,Parking,20,10,0,1
NOS,Parking,25,10,0,1
OOS,Parking,25,10,0,1
POS,Parking,25,11,0,1
SOS,Parking,40,10,0,1
TOS,Parking,25,11,0,1
UOS,Parking,25,11,0,1
VOS,Parking,35,10,0,1
WOS,Parking,35,10,0,1
XOS,Parking,40,10,0,1
YOS,Parking,40,10,0,1
ZOS,Parking,35,10,0,1
A10,Storage,10,11,0,1
A11,Storage,10,11,0,1
A12,Storage,10,11,0,1
A13,Storage,10,10,0,1
A14,Storage,10,10,0,1
A15,Storage,10,10,0,1
A16,Storage,10,10,0,1
A17,Storage,10,10,0,1
A18,Storage,10,5,0,1
A19,Storage,10,5,0,1
A20,Storage,10,5,0,1
A21,Storage,10,5,0,1
A22,Storage,10,5,0,1
A23,Storage,10,5,0,1
A24,Storage,10,11,0,1
A25,Storage,10,5,0,1
A26,Storage,10,5,0,1
A27,Storage,10,5,0,1
A28,Storage,10,5,0,1
A29,Storage,10,5,0,1
A30,Storage,10,5,0,1
A31,Storage,10,5,0,1
A32,Storage,10,5,0,1
A33,Storage,10,5,0,1
A34,Storage,5,5,0,1
A35,Storage,5,5,0,1
A36,Storage,5,5,0,1
A37,Storage,5,5,0,1
A38,Storage,10,10,0,1
A39,Storage,10,10,0,1
A40,Storage,10,11,0,1
A41,Storage,10,11,0,1
A42,Storage,10,11,0,1
D10,Storage,10,5,0,1
D11,Storage,10,10,0,1
D12,Storage,10,10,0,1
D13,Storage,5,5,0,1
D14,Storage,5,5,0,1
D15,Storage,5,5,0,1
D16,Storage,5,5,0,1
D17,Storage,10,5,0,1
D18,Storage,10,5,0,1
D19,Storage,10,5,0,1
D20,Storage,10,5,0,1
D21,Storage,10,5,0,1
